0|Token.Literal.String.Affix|'r'
1043|Token.Generic.Emph|'`idempotent`'
1055|Token.Literal.String.Doc|'\n'
1056|Token.Literal.String.Doc|'\t'
1057|Token.Generic.Subheading|'traits:'
1064|Token.Literal.String.Doc|'\n'
1065|Token.Literal.String.Doc|'\t\t'
1067|Token.Name.Constant|'abstract'
1075|Token.Literal.String.Doc|'\n'
1076|Token.Literal.String.Doc|'\t'
1077|Token.Generic.Subheading|'base:'
1082|Token.Literal.String.Doc|'\n'
1083|Token.Literal.String.Doc|'\t\t'
1085|Token.Name.Class|'MyBaseClassA'
1097|Token.Literal.String.Doc|','
1098|Token.Literal.String.Doc|' '
1099|Token.Name.Class|'MyBaseClassB'
1111|Token.Literal.String.Doc|'\n'
1112|Token.Literal.String.Doc|'\t'
1113|Token.Error|'bad_subsection:'
1128|Token.Literal.String.Doc|'\n'
1129|Token.Literal.String.Doc|'\t\tContract only contains predefined subsections, and "bad_subsection" is not one of them.\n'
1219|Token.Generic.Heading|'Description:\n'
1232|Token.Literal.String.Doc|'\tThis is a logical line consisting of two'
1273|Token.Keyword|'\\'
1274|Token.Literal.String.Doc|'\n'
1275|Token.Literal.String.Doc|'\tphysical lines.\n'
1292|Token.Keyword|'\t|\n'
1295|Token.Literal.String.Doc|'\tThis is another logical line. Test roles: '
1338|Token.Keyword|'|label|'
1345|Token.Generic.Subheading|'`ABC`'
1350|Token.Literal.String.Doc|'\n'
1351|Token.Generic.Heading|'Derived_from:\n'
1365|Token.Literal.String.Doc|'\t'
1366|Token.Name.Class|'MyBaseClassA'
1378|Token.Literal.String.Doc|','
1379|Token.Literal.String.Doc|' '
1380|Token.Name.Class|'MyBaseClassB'
1392|Token.Literal.String.Doc|'\n'
1393|Token.Generic.Heading|'Factory:\n'
1402|Token.Literal.String.Doc|'\t'
1403|Token.Name.Function|'my_factory:'
1414|Token.Literal.String.Doc|'\n'
1415|Token.Literal.String.Doc|'\t\tEach entry in this section describes a factory function.'
1473|Token.Keyword|'\\'
1474|Token.Literal.String.Doc|'\n'
1475|Token.Literal.String.Doc|'\t\tThe entry name is the name of the factory function,'
1528|Token.Keyword|'\\'
1529|Token.Literal.String.Doc|'\n'
1530|Token.Literal.String.Doc|'\t\tand the content is freeform text describing the factory contract.\n'
1598|Token.Generic.Heading|'Public_classes:\n'
1614|Token.Literal.String.Doc|'\t'
1615|Token.Name.Class|'ClassOne'
1623|Token.Literal.String.Doc|','
1624|Token.Literal.String.Doc|' '
1625|Token.Name.Class|'ClassTwo'
1633|Token.Literal.String.Doc|'\n'
1634|Token.Generic.Heading|'Class_overview:\n'
1650|Token.Literal.String.Doc|'\t'
1651|Token.Name.Class|'class_one:'
1661|Token.Literal.String.Doc|'\n'
1662|Token.Literal.String.Doc|'\t\tBrief description of class one. Test roles: '
1708|Token.Keyword|'|type|'
1714|Token.Name.Class|'`class_one`'
1725|Token.Literal.String.Doc|'\n'
1726|Token.Literal.String.Doc|'\t'
1727|Token.Name.Class|'class_two:'
1737|Token.Literal.String.Doc|'\n'
1738|Token.Literal.String.Doc|'\t\tBrief description of class two. Test roles: '
1784|Token.Keyword|'|type|'
1790|Token.Name.Class|'`class_two`'
1801|Token.Literal.String.Doc|'\n'
1802|Token.Generic.Heading|'Public_functions:\n'
1820|Token.Literal.String.Doc|'\t'
1821|Token.Name.Function|'function_one'
1833|Token.Literal.String.Doc|','
1834|Token.Literal.String.Doc|' '
1835|Token.Name.Function|'function_two'
1847|Token.Literal.String.Doc|'\n'
1848|Token.Generic.Heading|'Function_overview:\n'
1867|Token.Literal.String.Doc|'\t'
1868|Token.Name.Function|'function_one:'
1881|Token.Literal.String.Doc|'\n'
1882|Token.Literal.String.Doc|'\t\tBrief description of function one. Test roles: '
1931|Token.Keyword|'|func|'
1937|Token.Name.Function|'`function_one`'
1951|Token.Literal.String.Doc|'\n'
1952|Token.Literal.String.Doc|'\t'
1953|Token.Name.Function|'function_two:'
1966|Token.Literal.String.Doc|'\n'
1967|Token.Literal.String.Doc|'\t\tBrief description of function two. Test roles: '
2016|Token.Keyword|'|func|'
2022|Token.Name.Function|'`function_two`'
2036|Token.Literal.String.Doc|'\n'
2037|Token.Generic.Heading|'Public_methods:\n'
2053|Token.Literal.String.Doc|'\t'
2054|Token.Name.Function|'method_one'
2064|Token.Literal.String.Doc|','
2065|Token.Literal.String.Doc|' '
2066|Token.Name.Function|'method_two'
2076|Token.Literal.String.Doc|'\n'
2077|Token.Generic.Heading|'Method_overview:\n'
2094|Token.Literal.String.Doc|'\t'
2095|Token.Name.Function|'method_one:'
2106|Token.Literal.String.Doc|'\n'
2107|Token.Literal.String.Doc|'\t\tBrief description of method one. Test roles: '
2154|Token.Keyword|'|func|'
2160|Token.Name.Function|'`method_one`'
2172|Token.Literal.String.Doc|'\n'
2173|Token.Literal.String.Doc|'\t'
2174|Token.Name.Function|'method_two:'
2185|Token.Literal.String.Doc|'\n'
2186|Token.Literal.String.Doc|'\t\tBrief description of method two. Test roles: '
2233|Token.Keyword|'|func|'
2239|Token.Name.Function|'`method_two`'
2251|Token.Literal.String.Doc|'\n'
2252|Token.Generic.Heading|'Public_types:\n'
2266|Token.Literal.String.Doc|'\t'
2267|Token.Name.Class|'type_one:'
2276|Token.Literal.String.Doc|'\n'
2277|Token.Literal.String.Doc|'\t\tDescription of type one. Test roles: '
2316|Token.Keyword|'|type|'
2322|Token.Name.Class|'`type_one`'
2332|Token.Literal.String.Doc|'\n'
2333|Token.Literal.String.Doc|'\t'
2334|Token.Name.Class|'type_two:'
2343|Token.Literal.String.Doc|'\n'
2344|Token.Literal.String.Doc|'\t\tDescription of type two. Test roles: '
2383|Token.Keyword|'|type|'
2389|Token.Name.Class|'`type_two`'
2399|Token.Literal.String.Doc|'\n'
2400|Token.Generic.Heading|'Public_variables:\n'
2418|Token.Literal.String.Doc|'\t'
2419|Token.Name.Variable|'VAR_ONE:'
2427|Token.Literal.String.Doc|'\n'
2428|Token.Literal.String.Doc|'\t\tDescription of variable one. Test roles: '
2471|Token.Keyword|'|value|'
2478|Token.Name.Constant|'`1`'
2481|Token.Literal.String.Doc|'\n'
2482|Token.Literal.String.Doc|'\t'
2483|Token.Name.Variable|'VAR_TWO:'
2491|Token.Literal.String.Doc|'\n'
2492|Token.Literal.String.Doc|'\t\tDescription of variable two. Test roles: '
2535|Token.Keyword|'|value|'
2542|Token.Name.Constant|'`2`'
2545|Token.Literal.String.Doc|'\n'
2546|Token.Generic.Heading|'Public_constants:\n'
2564|Token.Literal.String.Doc|'\t'
2565|Token.Name.Variable|'CONST_ONE:'
2575|Token.Literal.String.Doc|'\n'
2576|Token.Literal.String.Doc|'\t\tDescription of constant one. Test roles: '
2619|Token.Keyword|'|value|'
2626|Token.Name.Constant|'`1`'
2629|Token.Literal.String.Doc|'\n'
2630|Token.Literal.String.Doc|'\t'
2631|Token.Name.Variable|'CONST_TWO:'
2641|Token.Literal.String.Doc|'\n'
2642|Token.Literal.String.Doc|'\t\tDescription of constant two. Test roles: '
2685|Token.Keyword|'|value|'
2692|Token.Name.Constant|'`2`'
2695|Token.Literal.String.Doc|'\n'
2696|Token.Generic.Heading|'Parameters:\n'
2708|Token.Literal.String.Doc|'\t'
2709|Token.Name.Variable|'x:'
2711|Token.Literal.String.Doc|'\n'
2712|Token.Literal.String.Doc|'\t\tDescription of parameter x. Test roles: '
2754|Token.Keyword|'|var|'
2759|Token.Name.Variable|'`x`'
2762|Token.Literal.String.Doc|'\n'
2763|Token.Literal.String.Doc|'\t'
2764|Token.Name.Variable|'y:'
2766|Token.Literal.String.Doc|'\n'
2767|Token.Literal.String.Doc|'\t\tDescription of parameter y. Test roles: '
2809|Token.Keyword|'|var|'
2814|Token.Name.Variable|'`y`'
2817|Token.Literal.String.Doc|'\n'
2818|Token.Literal.String.Doc|'\tnot a par:\n'
2830|Token.Literal.String.Doc|"\t\tInvalid because it doesn't follow the identifier format"
2887|Token.Keyword|'\\'
2888|Token.Literal.String.Doc|'\n'
2889|Token.Literal.String.Doc|'\t\tand cannot be used as a parameter name.\n'
2931|Token.Generic.Heading|'Returns:\n'
2940|Token.Literal.String.Doc|'\t'
2941|Token.Keyword|'|Must|'
2947|Token.Literal.String.Doc|' return '
2955|Token.Keyword.Constant|'|Self|'
2961|Token.Literal.String.Doc|', due to fluent interface. Test roles: '
3000|Token.Keyword|'|type|'
3006|Token.Name.Class|'`ABC`'
3011|Token.Literal.String.Doc|'\n'
3012|Token.Generic.Heading|'Raises:\n'
3020|Token.Literal.String.Doc|'\t'
3021|Token.Name.Exception|'ValueError:'
3032|Token.Literal.String.Doc|'\n'
3033|Token.Literal.String.Doc|'\t\t'
3035|Token.Keyword|'|Must|'
3041|Token.Literal.String.Doc|' raise if the input is invalid. Test roles: '
3085|Token.Keyword|'|type|'
3091|Token.Name.Class|'`ValueError`'
3103|Token.Literal.String.Doc|'\n'
3104|Token.Literal.String.Doc|'\t'
3105|Token.Name.Exception|'CustomError:'
3117|Token.Literal.String.Doc|'\n'
3118|Token.Literal.String.Doc|'\t\t'
3120|Token.Keyword|'|May|'
3125|Token.Literal.String.Doc|' propagate from function '
3150|Token.Keyword|'|func|'
3156|Token.Name.Function|'`some_function`'
3171|Token.Literal.String.Doc|'. Test roles: '
3185|Token.Keyword|'|type|'
3191|Token.Name.Class|'`CustomError`'
3204|Token.Literal.String.Doc|'.\n'
3206|Token.Generic.Heading|'Notes:\n'
3213|Token.Literal.String.Doc|'\t'
3214|Token.Generic.Heading|'Roles:'
3220|Token.Literal.String.Doc|'\n'
3221|Token.Literal.String.Doc|'\t\t'
3223|Token.Keyword|'|attr|'
3229|Token.Name.Attribute|'`ABC`'
3234|Token.Literal.String.Doc|'\n'
3235|Token.Literal.String.Doc|'\t\t'
3237|Token.Keyword|'|cmd|'
3242|Token.Name.Builtin|'`ABC`'
3247|Token.Literal.String.Doc|'\n'
3248|Token.Literal.String.Doc|'\t\t'
3250|Token.Keyword|'|dfn|'
3255|Token.Generic.Emph|'`ABC`'
3260|Token.Literal.String.Doc|'\n'
3261|Token.Literal.String.Doc|'\t\t'
3263|Token.Keyword|'|file|'
3269|Token.Literal.String.Other|'`/path/to/ABC`'
3283|Token.Literal.String.Doc|'\n'
3284|Token.Literal.String.Doc|'\t\t'
3286|Token.Keyword|'|func|'
3292|Token.Name.Function|'`ABC`'
3297|Token.Literal.String.Doc|'\n'
3298|Token.Literal.String.Doc|'\t\t'
3300|Token.Keyword|'|label|'
3307|Token.Generic.Subheading|'`ABC`'
3312|Token.Literal.String.Doc|'\n'
3313|Token.Literal.String.Doc|'\t\t'
3315|Token.Keyword|'|lit|'
3320|Token.Literal|'`ABC`'
3325|Token.Literal.String.Doc|'\n'
3326|Token.Literal.String.Doc|'\t\t'
3328|Token.Keyword|'|mod|'
3333|Token.Name.Namespace|'`ABC`'
3338|Token.Literal.String.Doc|'\n'
3339|Token.Literal.String.Doc|'\t\t'
3341|Token.Keyword|'|op|'
3345|Token.Operator|'`>>`'
3349|Token.Literal.String.Doc|'\n'
3350|Token.Literal.String.Doc|'\t\t'
3352|Token.Keyword|'|opt|'
3357|Token.Name.Variable|'`--abc`'
3364|Token.Literal.String.Doc|'\n'
3365|Token.Literal.String.Doc|'\t\t'
3367|Token.Keyword|'|tag|'
3372|Token.Name.Tag|'`ABC`'
3377|Token.Literal.String.Doc|'\n'
3378|Token.Literal.String.Doc|'\t\t'
3380|Token.Keyword|'|term|'
3386|Token.Generic.Emph|'`ABC`'
3391|Token.Literal.String.Doc|'\n'
3392|Token.Literal.String.Doc|'\t\t'
3394|Token.Keyword|'|type|'
3400|Token.Name.Class|'`ABC`'
3405|Token.Literal.String.Doc|'\n'
3406|Token.Literal.String.Doc|'\t\t'
3408|Token.Keyword|'|value|'
3415|Token.Name.Constant|'`12345`'
3422|Token.Literal.String.Doc|'\n'
3423|Token.Literal.String.Doc|'\t\t'
3425|Token.Keyword|'|var|'
3430|Token.Name.Variable|'`ABC`'
3435|Token.Literal.String.Doc|'\n'
3436|Token.Generic.Heading|'See_also:\n'
3446|Token.Literal.String.Doc|'\t'
3447|Token.Name.Variable|'other.class'
3458|Token.Literal.String.Doc|','
3459|Token.Literal.String.Doc|' '
3460|Token.Name.Variable|'other.function'
3474|Token.Literal.String.Doc|'\n'
3475|Token.Name.Variable|'"""'
3478|Token.Text.Whitespace|'\n'
3479|Token.Keyword.Namespace|'import'
3485|Token.Text.Whitespace|' '
3486|Token.Name.Namespace|'sys'
3489|Token.Text.Whitespace|'\n'
3490|Token.Text.Whitespace|'\n'
3491|Token.Keyword|'class'
3496|Token.Text.Whitespace|' '
3497|Token.Name.Class|'MyClassA'
3505|Token.Punctuation|':'
3506|Token.Text.Whitespace|'\n'
3507|Token.Text.Whitespace|'\t'
3508|Token.Literal.String.Doc|'"""\n\tPreamble:\n\t\tprofile:\n\t\t\tclass\n\t\tscope:\n\t\t\tcore\n\tNotes:\n\t\tNot a docstring:\n\t\t\tMissing Contract - Testing edge case in pygemnts lexer.\n\t"""'
3650|Token.Text.Whitespace|'\n'
3651|Token.Text.Whitespace|'\n'
3652|Token.Keyword|'class'
3657|Token.Text.Whitespace|' '
3658|Token.Name.Class|'MyClassB'
3666|Token.Punctuation|':'
3667|Token.Text.Whitespace|'\n'
3668|Token.Text|'\t'
3669|Token.Keyword|'def'
3672|Token.Text.Whitespace|' '
3673|Token.Name.Function.Magic|'__init__'
3681|Token.Punctuation|'('
3682|Token.Name.Builtin.Pseudo|'self'
3686|Token.Punctuation|')'
3687|Token.Punctuation|':'
3688|Token.Text.Whitespace|'\n'
3689|Token.Comment.Single|'# Trying to confuse the lexer with a string which is not a valid docstring.'
3764|Token.Text.Whitespace|'\n'
3765|Token.Text|'\t\t'
3767|Token.Name|'a'
3768|Token.Text|' '
3769|Token.Operator|'='
3770|Token.Text|' '
3771|Token.Literal.String.Double|'"'
3772|Token.Literal.String.Double|'Preamble:'
3781|Token.Literal.String.Escape|'\\n'
3783|Token.Literal.String.Escape|'\\t'
3785|Token.Literal.String.Double|'profile:'
3793|Token.Literal.String.Escape|'\\n'
3795|Token.Literal.String.Escape|'\\t'
3797|Token.Literal.String.Escape|'\\t'
3799|Token.Literal.String.Double|'function'
3807|Token.Literal.String.Escape|'\\n'
3809|Token.Literal.String.Double|'Contract:'
3818|Token.Literal.String.Escape|'\\n'
3820|Token.Literal.String.Double|'"'
3821|Token.Text.Whitespace|'\n'
3822|Token.Text.Whitespace|'\n'
3823|Token.Keyword|'def'
3826|Token.Text.Whitespace|' '
3827|Token.Name.Function|'bar'
3830|Token.Punctuation|'('
3831|Token.Punctuation|')'
3832|Token.Punctuation|':'
3833|Token.Text.Whitespace|'\n'
3834|Token.Text.Whitespace|'\t'
3835|Token.Literal.String.Doc|'"""\n'
3839|Token.Generic.Heading|'\tPreamble:\n'
3850|Token.Literal.String.Doc|'\t\t'
3852|Token.Generic.Subheading|'profile:'
3860|Token.Literal.String.Doc|'\n'
3861|Token.Literal.String.Doc|'\t\t\t'
3864|Token.Name.Constant|'function'
3872|Token.Literal.String.Doc|'\n'
3873|Token.Literal.String.Doc|'\t\t'
3875|Token.Generic.Subheading|'normative_sections:'
3894|Token.Literal.String.Doc|'\n'
3895|Token.Literal.String.Doc|'\t\t\t'
3898|Token.Name.Constant|'Contract'
3906|Token.Literal.String.Doc|','
3907|Token.Literal.String.Doc|' '
3908|Token.Name.Constant|'Parameters'
3918|Token.Literal.String.Doc|','
3919|Token.Literal.String.Doc|' '
3920|Token.Name.Constant|'Returns'
3927|Token.Literal.String.Doc|','
3928|Token.Literal.String.Doc|' '
3929|Token.Name.Constant|'Raises'
3935|Token.Literal.String.Doc|'\n'
3936|Token.Generic.Heading|'\tContract:\n'
3947|Token.Literal.String.Doc|'\t\t'
3949|Token.Generic.Subheading|'general:'
3957|Token.Literal.String.Doc|'\n'
3958|Token.Generic.Heading|'\tParameters:\n'
3971|Token.Generic.Heading|'\tReturns:\n'
3981|Token.Generic.Heading|'\tRaises:\n'
3990|Token.Literal.String.Doc|'\t"""'
3994|Token.Text.Whitespace|'\n'
3995|Token.Text|'\t'
3996|Token.Keyword|'pass'
4000|Token.Text.Whitespace|'\n'
4001|Token.Text.Whitespace|'\n'
4002|Token.Comment.Single|'#----- Pygments Lexer edge cases -----------------------------#'
4065|Token.Text.Whitespace|'\n'
4066|Token.Text.Whitespace|'\n'
4067|Token.Keyword|'def'
4070|Token.Text.Whitespace|' '
4071|Token.Name.Function|'foo_no_preamble'
4086|Token.Punctuation|'('
4087|Token.Name|'a'
4088|Token.Punctuation|':'
4089|Token.Text|' '
4090|Token.Name.Builtin|'int'
4093|Token.Punctuation|')'
4094|Token.Text|' '
4095|Token.Operator|'-'
4096|Token.Operator|'>'
4097|Token.Text|' '
4098|Token.Name.Builtin|'float'
4103|Token.Punctuation|':'
4104|Token.Text.Whitespace|'\n'
4105|Token.Text.Whitespace|'\t'
4106|Token.Literal.String.Doc|'"""\n\tNotes:\n\t\tNot a valid docstring:\n\t\t\tThe content looks like a docstring but has no Preamble.\n\tReturns:\n\t\tfloat: The input converted to a float.\n\t"""'
4257|Token.Text.Whitespace|'\n'
4258|Token.Text|'\t'
4259|Token.Keyword|'return'
4265|Token.Text|' '
4266|Token.Name.Builtin|'float'
4271|Token.Punctuation|'('
4272|Token.Name|'a'
4273|Token.Punctuation|')'
4274|Token.Text.Whitespace|'\n'
4275|Token.Text.Whitespace|'\n'
4276|Token.Keyword|'def'
4279|Token.Text.Whitespace|' '
4280|Token.Name.Function|'foo_no_contract'
4295|Token.Punctuation|'('
4296|Token.Name|'a'
4297|Token.Punctuation|':'
4298|Token.Text|' '
4299|Token.Name.Builtin|'int'
4302|Token.Punctuation|')'
4303|Token.Text|' '
4304|Token.Operator|'-'
4305|Token.Operator|'>'
4306|Token.Text|' '
4307|Token.Name.Builtin|'float'
4312|Token.Punctuation|':'
4313|Token.Text.Whitespace|'\n'
4314|Token.Text.Whitespace|'\t'
4315|Token.Literal.String.Doc|'"""\n\tPreamble:\n\t\tprofile:\n\t\t\tfunction\n\t\tnormative_sections:\n\t\t\tContract, Parameters, Returns, Raises\n\tNotes:\n\t\tNot a valid docstring:\n\t\t\tThe content looks like a docstring but has no Contract.\n\tReturns:\n\t\tfloat: The input converted to a float.\n\t"""'
4563|Token.Text.Whitespace|'\n'
4564|Token.Text|'\t'
4565|Token.Keyword|'return'
4571|Token.Text|' '
4572|Token.Name.Builtin|'float'
4577|Token.Punctuation|'('
4578|Token.Name|'a'
4579|Token.Punctuation|')'
4580|Token.Text.Whitespace|'\n'
4581|Token.Text.Whitespace|'\n'
4582|Token.Keyword|'def'
4585|Token.Text.Whitespace|' '
4586|Token.Name.Function|'foo_mixed_indent'
4602|Token.Punctuation|'('
4603|Token.Name|'a'
4604|Token.Punctuation|':'
4605|Token.Text|' '
4606|Token.Name.Builtin|'int'
4609|Token.Punctuation|')'
4610|Token.Text|' '
4611|Token.Operator|'-'
4612|Token.Operator|'>'
4613|Token.Text|' '
4614|Token.Name.Builtin|'float'
4619|Token.Punctuation|':'
4620|Token.Text.Whitespace|'\n'
4621|Token.Text.Whitespace|'\t'
4622|Token.Literal.String.Doc|'"""\n\tPreamble:\n\t\tprofile:\n\t\t\tfunction\n\t\tnormative_sections:\n\t\t\tContract, Parameters, Returns, Raises\n\tContract:\n\t\tgeneral:\n\t\t\t|Must| provide a test case with mixed indentation\n\t\t\t(tabs and spaces) in the Contract section.\n\tNotes:\n\t\tNot a valid docstring:\n\t\t    This line is indented with spaces, while\n\t\t\tthe previous line is indented with a tab.\n\t\t\tThis is valid in Python (because it\'s inside\n\t\t\ta docstring) but invalid as a docstring\n\t\t\taccording to the waterloo specification.\n\tReturns:\n\t\tfloat: The input converted to a float.\n\t"""'
5159|Token.Text.Whitespace|'\n'
5160|Token.Text|'\t'
5161|Token.Keyword|'return'
5167|Token.Text|' '
5168|Token.Name.Builtin|'float'
5173|Token.Punctuation|'('
5174|Token.Name|'a'
5175|Token.Punctuation|')'
5176|Token.Text.Whitespace|'\n'
5177|Token.Text.Whitespace|'\n'
5178|Token.Keyword|'def'
5181|Token.Text.Whitespace|' '
5182|Token.Name.Function|'foo_empty_lines'
5197|Token.Punctuation|'('
5198|Token.Name|'a'
5199|Token.Punctuation|':'
5200|Token.Text|' '
5201|Token.Name.Builtin|'int'
5204|Token.Punctuation|')'
5205|Token.Text|' '
5206|Token.Operator|'-'
5207|Token.Operator|'>'
5208|Token.Text|' '
5209|Token.Name.Builtin|'float'
5214|Token.Punctuation|':'
5215|Token.Text.Whitespace|'\n'
5216|Token.Text.Whitespace|'\t'
5217|Token.Literal.String.Doc|'"""\n'
5221|Token.Generic.Heading|'\tPreamble:   \n'
5235|Token.Literal.String.Doc|'\t\t'
5237|Token.Generic.Subheading|'profile:'
5245|Token.Literal.String.Doc|'\n'
5246|Token.Literal.String.Doc|'\t\t\t'
5249|Token.Name.Constant|'function'
5257|Token.Literal.String.Doc|'\n'
5258|Token.Literal.String.Doc|'\t\t'
5260|Token.Generic.Subheading|'normative_sections:'
5279|Token.Literal.String.Doc|'\n'
5280|Token.Literal.String.Doc|'\t\t\t'
5283|Token.Name.Constant|'Contract'
5291|Token.Literal.String.Doc|','
5292|Token.Literal.String.Doc|' '
5293|Token.Name.Constant|'Parameters'
5303|Token.Literal.String.Doc|'\n'
5304|Token.Literal.String.Doc|'\t\t\t'
5307|Token.Literal.String.Doc|'\t\t\t'
5310|Token.Literal.String.Doc|'\n'
5308|Token.Literal.String.Doc|'\t\t\t'
5311|Token.Name.Constant|'Returns'
5318|Token.Literal.String.Doc|','
5319|Token.Literal.String.Doc|' '
5320|Token.Name.Constant|'Raises'
5326|Token.Literal.String.Doc|'\n'
5327|Token.Generic.Heading|'\tContract:\n'
5338|Token.Literal.String.Doc|'\t\t'
5340|Token.Generic.Subheading|'general:'
5348|Token.Literal.String.Doc|'\n'
5349|Token.Literal.String.Doc|'\t\t\t'
